Model unknown

  Variables:
    shifts_facing_wall : Size=1150, Index=shifts_facing_wall_index
        Key      : Lower : Value                   : Upper : Fixed : Stale : Domain
         (7, 25) :   -50 :       2.149783270391337 :    50 : False : False :  Reals
         (7, 26) :   -50 :      2.1480023131599166 :    50 : False : False :  Reals
         (7, 27) :   -50 :       2.145248390886128 :    50 : False : False :  Reals
         (7, 28) :   -50 :      2.1412375438742712 :    50 : False : False :  Reals
         (7, 29) :   -50 :        2.13565524020956 :    50 : False : False :  Reals
         (7, 30) :   -50 :       2.128178809106532 :    50 : False : False :  Reals
         (7, 31) :   -50 :       2.118500552916612 :    50 : False : False :  Reals
         (7, 32) :   -50 :       2.106349911256274 :    50 : False : False :  Reals
         (7, 33) :   -50 :      2.0915131039830372 :    50 : False : False :  Reals
         (7, 34) :   -50 :      2.0738488463216567 :    50 : False : False :  Reals
         (7, 35) :   -50 :      2.0532990029048217 :    50 : False : False :  Reals
         (7, 36) :   -50 :      2.0298934148405166 :    50 : False : False :  Reals
         (7, 37) :   -50 :      2.0037485760446763 :    50 : False : False :  Reals
         (7, 38) :   -50 :      1.9750603277583239 :    50 : False : False :  Reals
         (7, 39) :   -50 :      1.9440912555068253 :    50 : False : False :  Reals
         (7, 40) :   -50 :      1.9111539810338096 :    50 : False : False :  Reals
         (7, 41) :   -50 :      1.8765920135766847 :    50 : False : False :  Reals
         (7, 42) :   -50 :      1.8407602336021807 :    50 : False : False :  Reals
         (7, 43) :   -50 :       1.804007406357163 :    50 : False : False :  Reals
